Traffic,Date,Tag ID,Tag Name,Tag Dimensions,Type,Site,Requests,Opportunities,Impressions,Fill Rate,CPM,Earnings
Combined,2016-06-15,339885,GravityTales_2a_300_BTF,300x250,DISPLAY,all traffic,368565,0,52085,0.14,0.25,13.08
Combined,2016-06-15,341245,GravityTales_2b_300_BTF_NoFloor,300x250,DISPLAY,all traffic,220747,0,48737,0.22,0.11,5.14
Combined,2016-06-15,362446,Gravitytales_300_3,300x250,DISPLAY,all traffic,383094,0,47699,0.12,0.27,13.01
Combined,2016-06-15,362447,Gravitytales_300_3z,300x250,DISPLAY,all traffic,277738,0,43044,0.15,0.11,4.56
Combined,2016-06-15,362462,Gravitytales_300_4,300x250,DISPLAY,all traffic,370281,0,52292,0.14,0.33,17.10
Combined,2016-06-15,362463,Gravitytales_300_4z,300x250,DISPLAY,all traffic,266578,0,48909,0.18,0.11,5.43
Combined,2016-06-15,347712,Gravitytales_300_ATF,300x250,DISPLAY,all traffic,2682,0,366,0.14,0.34,0.12
Combined,2016-06-15,347713,Gravitytales_300_ATF_NoFloor,300x250,DISPLAY,all traffic,1235,0,102,0.08,0.08,0.01
Combined,2016-06-15,357729,Gravitytales_300_Mobile1,300x250,DISPLAY,all traffic,36,0,6,0.17,0.34,0.00
Combined,2016-06-15,358015,Gravitytales_300_Mobile1z,300x250,DISPLAY,all traffic,24,0,3,0.13,0.00,0.00
Combined,2016-06-15,352652,Gravitytales_300_Mobile2,300x250,DISPLAY,all traffic,389141,0,63043,0.16,0.33,20.83
Combined,2016-06-15,362134,Gravitytales_300_Mobile2z,300x250,DISPLAY,all traffic,302497,0,54627,0.18,0.10,5.65
Combined,2016-06-15,359751,Gravitytales_300_Mobile3,300x250,DISPLAY,all traffic,388086,0,56419,0.15,0.30,16.97
Combined,2016-06-15,362137,Gravitytales_300_Mobile3z,300x250,DISPLAY,all traffic,308813,0,56990,0.18,0.11,6.05
Combined,2016-06-15,358045,Gravitytales_728_ATF,728x90,DISPLAY,all traffic,520720,0,65345,0.13,0.46,30.06
Combined,2016-06-15,358046,Gravitytales_728_ATF_NoFloor,728x90,DISPLAY,all traffic,257248,0,49459,0.19,0.07,3.37
Combined,2016-06-15,339886,GravityTales_728_BTF,728x90,DISPLAY,all traffic,453092,0,57988,0.13,0.47,27.03
Combined,2016-06-15,341246,GravityTales_728_BTF_NoFloor,728x90,DISPLAY,all traffic,318866,0,70296,0.22,0.08,5.54
Combined,2016-06-15,337206,heroicnovels.com_300X250,300x250,DISPLAY,all traffic,49,0,6,0.12,0.60,0.00
Combined,2016-06-15,342729,Moonbunnycafe_300,300x250,DISPLAY,all traffic,46325,0,13035,0.28,0.32,4.17
Combined,2016-06-15,342730,Moonbunnycafe_300x600,300x600,DISPLAY,all traffic,46106,0,10269,0.22,0.10,1.03
Combined,2016-06-15,361069,Moonbunnycafe_300_2,300x250,DISPLAY,all traffic,983,0,150,0.15,0.31,0.05
Combined,2016-06-15,361070,Moonbunnycafe_300_3,300x250,DISPLAY,all traffic,976,0,164,0.17,0.33,0.05
Combined,2016-06-15,342731,Moonbunnycafe_728,728x90,DISPLAY,all traffic,48736,0,9425,0.19,0.19,1.80
Combined,2016-06-15,361071,Moonbunnycafe_728_2,728x90,DISPLAY,all traffic,1317,0,62,0.05,0.25,0.02
Combined,2016-06-15,361072,Moonbunnycafe_728_3,728x90,DISPLAY,all traffic,1341,0,87,0.06,0.23,0.02
Combined,2016-06-15,339903,PikaTranslations_300x600_BTF1,300x600,DISPLAY,all traffic,2183,0,463,0.21,0.32,0.15
Combined,2016-06-15,339904,PikaTranslations_300x600_BTF2,300x600,DISPLAY,all traffic,2176,0,456,0.21,0.37,0.17
Combined,2016-06-15,339902,PikaTranslations_300_ATF,300x250,DISPLAY,all traffic,2203,0,919,0.42,0.37,0.34
Combined,2016-06-15,339905,PikaTranslations_300_BTF,300x250,DISPLAY,all traffic,2205,0,871,0.40,0.37,0.32
Combined,2016-06-15,340174,ShiroyukiTranslations_300,300x250,DISPLAY,all traffic,130974,0,31177,0.24,0.45,14.16
Combined,2016-06-15,341505,ShiroyukiTranslations_300_NoFloor,300x250,DISPLAY,all traffic,60243,0,24047,0.40,0.11,2.70
Combined,2016-06-15,350857,Subudai11_300,300x250,DISPLAY,all traffic,18227,0,4804,0.26,0.22,1.05
Combined,2016-06-15,339901,TranslationNations_300,300x250,DISPLAY,all traffic,150102,0,64791,0.43,0.52,33.47
Combined,2016-06-15,341243,TranslationNations_300_NoFloor,300x250,DISPLAY,all traffic,38814,0,9054,0.23,0.10,0.89
Combined,2016-06-16,339885,GravityTales_2a_300_BTF,300x250,DISPLAY,all traffic,370855,0,55155,0.15,0.26,14.31
Combined,2016-06-16,341245,GravityTales_2b_300_BTF_NoFloor,300x250,DISPLAY,all traffic,224727,0,46702,0.21,0.11,5.25
